class_name,qualified_term,term_local_name
mids:mids0,mids:PhysicalSpecimenID,PhysicalSpecimenID
mids:mids0,mids:Organization,Organization
mids:mids1,mids:Name,Name
mids:mids1,mids:ScientificNameID,ScientificNameID
mids:mids1,mids:SpecimenType,SpecimenType
mids:mids1,mids:ObjectType,ObjectType
mids:mids1,mids:License,License
mids:mids1,mids:Modified,Modified
mids:mids2,mids:QualitativeLocation,QualitativeLocation
mids:mids2,mids:QuantitativeLocation,QuantitativeLocation
mids:mids2,mids:CollectingAgent,CollectingAgent
mids:mids2,mids:CollectionDate,CollectionDate
mids:mids2,mids:CollectorNumber,CollectorNumber
mids:mids2,mids:Media,Media
mids:mids3,mids:GeographicalLocalityID,GeographicalLocalityID
mids:mids3,mids:InstitutionID,InstitutionID
mids:mids3,mids:CollectorID,CollectorID
mids:mids3,mids:ScientificNameID,ScientificNameID
mids:mids3,mids:IdentifiedByID,IdentifiedByID
mids:mids3,mids:AssociatedMediaID,AssociatedMediaID
